,count,mean,std,min,25%,50%,75%,max
trans_id,100000.0,40039900340760.55,19371113569.591957,40020000120595.0,40030000174909.0,40040000113107.0,40050000112098.25,40120000170377.0
store_code,100000.0,1003.99001,1.9371132450058874,1002.0,1003.0,1004.0,1005.0,1012.0
cust_id,100000.0,3258984989285.1445,11491676436652.812,0.0,645207.25,1541297.0,3603726.0,43780001610741.0
product_code,100000.0,1017574.14926,8822.484195297558,1000036.0,1011959.0,1020575.5,1024890.0,1028218.0
barcode,100000.0,6718877175775.022,2761359686055.068,30030282.0,3800225902083.0,8683036760230.5,8690637981500.0,9310714206140.0
amount,100000.0,1.05595,0.31651318978202636,1.0,1.0,1.0,1.0,30.0
unit_price,100000.0,34.6761056,33.41909231042874,0.01,14.65,26.5,44.95,675.0
no_discount,100000.0,49.105387400000005,55.074254116370795,0.01,15.95,34.95,59.95,999.0
discounted_unit_price,100000.0,33.02945587333333,32.74450002905453,0.0,13.5,24.95,41.115,675.0
discounted_total_price,100000.0,34.4777168,35.25254650017989,0.0,14.0,25.45,43.15,2099.25
total_discount_amount,100000.0,1.7374948999999995,7.9066302622226505,0.0,0.0,0.0,0.0,206.37
unit_campaign_discount,100000.0,1.6481751266666667,7.306680490302896,0.0,0.0,0.0,0.0,206.37
